Konteineris,Strategija,Irasu_kiekis,Nuskaitymas_s,Rusiavimas_s,Dalijimas_s,Isvedimas_s,Bendra_s
vector,1,1000,0.000500,0.000112,0.000036,0.000373,0.001021
list,1,1000,0.000448,0.000082,0.000069,0.000478,0.001078
deque,1,1000,0.000422,0.000130,0.000014,0.000431,0.000997
vector,2,1000,0.000435,0.000111,0.003600,0.000361,0.004507
list,2,1000,0.000433,0.000070,0.000022,0.000313,0.000839
deque,2,1000,0.000409,0.000138,0.000015,0.000314,0.000876
vector,3,1000,0.000437,0.000113,0.000096,0.000314,0.000959
list,3,1000,0.000402,0.000076,0.000005,0.000483,0.000967
deque,3,1000,0.000419,0.000127,0.000045,0.000325,0.000915
vector,1,10000,0.005289,0.001261,0.000704,0.003711,0.010965
list,1,10000,0.004843,0.001088,0.000627,0.003640,0.010198
deque,1,10000,0.004650,0.001576,0.000193,0.003638,0.010057
vector,2,10000,0.004441,0.001261,0.363375,0.002522,0.371599
list,2,10000,0.005135,0.001088,0.000238,0.002434,0.008895
deque,2,10000,0.004686,0.001519,0.000155,0.002631,0.008993
vector,3,10000,0.005035,0.001272,0.000371,0.002467,0.009146
list,3,10000,0.005111,0.001138,0.000121,0.002505,0.008874
deque,3,10000,0.004273,0.001465,0.000424,0.002622,0.008785
vector,1,100000,0.052124,0.017224,0.010802,0.036206,0.116356
list,1,100000,0.049309,0.023327,0.014192,0.047999,0.134828
deque,1,100000,0.055856,0.021450,0.004472,0.040388,0.122167
vector,2,100000,0.040693,0.017264,36.407049,0.027285,36.492291
list,2,100000,0.048861,0.022395,0.011765,0.035349,0.118370
deque,2,100000,0.056726,0.021115,0.004908,0.025158,0.107907
vector,3,100000,0.049361,0.017104,0.015865,0.024423,0.106754
list,3,100000,0.041866,0.024753,0.008736,0.034655,0.110009
deque,3,100000,0.055984,0.021228,0.012989,0.028255,0.118456
